sha256,pkgName,obfuscationTechnique,status,numSmaliClasses,numSmaliClassesAnalyzed,llmFinalLabel
A420BB7E8108DDADC6EBBD3A6F421D0C14C24B69B92DA61AB1238222E6837E7C,app.simple.peri,CallIndirection,SUCCESS,105,82,MethodRename
1D45A60D485DF59406A74053A909694E4E2E93812943C5BAF10E13A61F2BE183,com.bitmavrick.lumolight,CallIndirection,SUCCESS,165,115,ClassRename
4D960D452F27EEA4D151088E246180B3131AC1E579464A6B9101A9F2C221D252,com.github.ashutoshgngwr.noice,CallIndirection,SUCCESS,172,120,MethodRename
1D898BD63C1679CC6C74D5CFA9EB4B659F6EEA0ECB8773E21D8CD5AB340CCF69,com.ichi2.anki.debug,CallIndirection,SUCCESS,1390,296,MethodRename
7323E367E428B97C67621A69F244551ADCC5A1853C9764AB2C5BA260366DA542,com.jarsilio.android.scrambledeggsif,CallIndirection,SUCCESS,49,44,MethodRename
FC96F35AA1B83B6AFABA9AAB56A6EA26A35354F1DFD675B434896EEF9DDFECDE,de.markusfisch.android.binaryeye.debug,CallIndirection,SUCCESS,133,98,MethodRename
A1B74D5156781BE23DA5D7F45EE570282E36C4F7FA1EC4AC33265B8D800E445D,de.marmaro.krt.ffupdater,CallIndirection,SUCCESS,193,128,MethodRename
8167DF3AF7E74F79AE149E965F9334307214E8169D05D354CA07618852604F3A,de.westnordost.streetcomplete.debug,CallIndirection,SUCCESS,706,248,MethodRename
D0452F48D9774B3F0098E4E8CE67B7EA8B9F8BD966FE633E6F9A07BC2B6E816E,fr.neamar.kiss.debug,CallIndirection,SUCCESS,162,113,MethodRename
44736A054FB1E8FA35CD43988EDB121992EDFE34FEB7854F3FF6389D5AAA333A,me.hackerchick.catima.debug,CallIndirection,SUCCESS,113,84,MethodRename
