sha256,pkgName,obfuscationTechnique,status,numSmaliClasses,numSmaliClassesAnalyzed,pctSmaliClassesObfuscated,llmFinalLabel
0676B60C3C8B611D2894217B6CBDB0C461333149D8BFE64DECE5CCC0F41CB613,app.simple.peri,ResStringEncryption,SUCCESS,105,82,0.67,True
E292042DA6CC7A9CF310E8230D177F65798884D2C24B951529DFEED6D73C7DBC,com.bitmavrick.lumolight,ResStringEncryption,SUCCESS,165,116,0.71,True
0E14B79C35E4757CC5220D7363E52C80651380AEB1DCCD1A4A9D3FF67FC4E29F,com.github.ashutoshgngwr.noice,ResStringEncryption,SUCCESS,173,120,0.73,True
7FEAF8EB4B5F6EABF1785637D39D2266EBF5464AD9D94C2F6EA6C1111D02534F,com.ichi2.anki.debug,ResStringEncryption,SUCCESS,1390,300,0.64,True
93505BC0CA2C4540520D626A622D285EC2E9F2BB8E642568A520F3E2B65F1C11,com.jarsilio.android.scrambledeggsif,ResStringEncryption,SUCCESS,50,45,0.73,True
BB727ADE58C54127D5E6515406F727A06DB00B95240BA0BA798E2CDB18C801E4,de.markusfisch.android.binaryeye.debug,ResStringEncryption,SUCCESS,133,99,0.68,True
36A8197707D494CD43B75DBC094905BFA835CD5C86555C009F77A6EA8DF01B92,de.marmaro.krt.ffupdater,ResStringEncryption,SUCCESS,193,129,0.66,True
33D8D10CC605C2F57F02975AAEB723DDE8BA25887921C5B21C05E0CF3EA2D225,de.westnordost.streetcomplete.debug,ResStringEncryption,SUCCESS,706,250,0.68,True
4ACF4E8AFF952225F6A44EF0227F9F35B73812EE89639315EF12C14DB0BBBF54,fr.neamar.kiss.debug,ResStringEncryption,SUCCESS,163,115,0.65,True
1A50BE462D89092C0A4352D2ACDFE3F901E1118D71B78E53F32AD7B4E77BD8BF,me.hackerchick.catima.debug,ResStringEncryption,"ERROR - Traceback (most recent call last): |   File ""/home/marco/miniconda3/envs/marcoEnv/lib/python3.11/site-packages/httpx/_transports/default.py"", line 101, in map_httpcore_exceptions |     yield |   File ""/home/marco/miniconda3/envs/marcoEnv/lib/python3.11/site-packages/httpx/_transports/default.py"", line 250, in handle_request |     resp = self._pool.handle_request(req) |            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ |   File ""/home/marco/miniconda3/envs/marcoEnv/lib/python3.11/site-packages/httpcore/_sync/connection_pool.py"", line 256, in handle_request |     raise exc from None |   File ""/home/marco/miniconda3/envs/marcoEnv/lib/python3.11/site-packages/httpcore/_sync/connection_pool.py"", line 236, in handle_request |     response = connection.handle_request( |                ^^^^^^^^^^^^^^^^^^^^^^^^^^ |   File ""/home/marco/miniconda3/envs/marcoEnv/lib/python3.11/site-packages/httpcore/_sync/connection.py"", line 103, in handle_request |     return self._connection.handle_request(request) |            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ |   File ""/home/marco/miniconda3/envs/marcoEnv/lib/python3.11/site-packages/httpcore/_sync/http11.py"", line 136, in handle_request |     raise exc |   File ""/home/marco/miniconda3/envs/marcoEnv/lib/python3.11/site-packages/httpcore/_sync/http11.py"", line 106, in handle_request |     ) = self._receive_response_headers(**kwargs) |         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ |   File ""/home/marco/miniconda3/envs/marcoEnv/lib/python3.11/site-packages/httpcore/_sync/http11.py"", line 177, in _receive_response_headers |     event = self._receive_event(timeout=timeout) |             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ |   File ""/home/marco/miniconda3/envs/marcoEnv/lib/python3.11/site-packages/httpcore/_sync/http11.py"", line 231, in _receive_event |     raise RemoteProtocolError(msg) | httpcore.RemoteProtocolError: Server disconnected without sending a response. |  | The above exception was the direct cause of the following exception: |  | Traceback (most recent call last): |   File ""/home/marco/Projects/AndroidObfuscationLLM/1_Code/2_ObfuscationDetection/experiments.py"", line 297, in analyzeApkRecord |     classAnalysis = ObfuscationDetectionAnalysisUtils.analyzeSmaliClassWithMajorityVote( |                     ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ |   File ""/home/marco/Projects/AndroidObfuscationLLM/1_Code/AnalysisUtils.py"", line 240, in analyzeSmaliClassWithMajorityVote |     iterationResult = ObfuscationDetectionAnalysisUtils.askForBooleanLabel(llmInterface, prompt, maxRetries = maxRetries) |                       ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ |   File ""/home/marco/Projects/AndroidObfuscationLLM/1_Code/AnalysisUtils.py"", line 207, in askForBooleanLabel |     structuredReply = llmInterface.sendRequestWithSchema(prompt, BooleanLabelSchema) |                       ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ |   File ""/home/marco/Projects/AndroidObfuscationLLM/1_Code/LLMUtils.py"", line 58, in sendRequestWithSchema |     response = self.client.chat( |                ^^^^^^^^^^^^^^^^^ |   File ""/home/marco/miniconda3/envs/marcoEnv/lib/python3.11/site-packages/ollama/_client.py"", line 342, in chat |     return self._request( |            ^^^^^^^^^^^^^^ |   File ""/home/marco/miniconda3/envs/marcoEnv/lib/python3.11/site-packages/ollama/_client.py"", line 180, in _request |     return cls(**self._request_raw(*args, **kwargs).json()) |                  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ |   File ""/home/marco/miniconda3/envs/marcoEnv/lib/python3.11/site-packages/ollama/_client.py"", line 120, in _request_raw |     r = self._client.request(*args, **kwargs) |         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ |   File ""/home/marco/miniconda3/envs/marcoEnv/lib/python3.11/site-packages/httpx/_client.py"", line 825, in request |     return self.send(request, auth=auth, follow_redirects=follow_redirects) |            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ |   File ""/home/marco/miniconda3/envs/marcoEnv/lib/python3.11/site-packages/httpx/_client.py"", line 914, in send |     response = self._send_handling_auth( |                ^^^^^^^^^^^^^^^^^^^^^^^^^ |   File ""/home/marco/miniconda3/envs/marcoEnv/lib/python3.11/site-packages/httpx/_client.py"", line 942, in _send_handling_auth |     response = self._send_handling_redirects( |                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ |   File ""/home/marco/miniconda3/envs/marcoEnv/lib/python3.11/site-packages/httpx/_client.py"", line 979, in _send_handling_redirects |     response = self._send_single_request(request) |                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ |   File ""/home/marco/miniconda3/envs/marcoEnv/lib/python3.11/site-packages/httpx/_client.py"", line 1014, in _send_single_request |     response = transport.handle_request(request) |                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ |   File ""/home/marco/miniconda3/envs/marcoEnv/lib/python3.11/site-packages/httpx/_transports/default.py"", line 249, in handle_request |     with map_httpcore_exceptions(): |   File ""/home/marco/miniconda3/envs/marcoEnv/lib/python3.11/contextlib.py"", line 158, in __exit__ |     self.gen.throw(typ, value, traceback) |   File ""/home/marco/miniconda3/envs/marcoEnv/lib/python3.11/site-packages/httpx/_transports/default.py"", line 118, in map_httpcore_exceptions |     raise mapped_exc(message) from exc | httpx.RemoteProtocolError: Server disconnected without sending a response. | ",113,0,0.0,
