sha256,pkgName,obfuscationTechnique,status,numSmaliClasses,numSmaliClassesAnalyzed,pctSmaliClassesObfuscated,llmFinalLabel
D467C8A03C5DF969CD4FC0C997659E4C7571F661552A0DFC9400D510FD227676,app.simple.peri,ArithmeticBranch,SUCCESS,105,81,0.16,False
935A0C3729A7B3D75C5BCE480A743027F024A889DA86341B7C4FD4FD91776EA4,de.westnordost.streetcomplete.debug,ArithmeticBranch,SUCCESS,706,250,0.16,False
089B9F4DDDACA7CC50D340167B53A06EA1FCC4F1C904472F5EC5BA25CE296549,me.hackerchick.catima.debug,ArithmeticBranch,SUCCESS,113,88,0.19,False
1486ED27E34B0AE7B763E9291290DF07FCD24777715B28B4E9E4E7848CBCA46A,com.bitmavrick.lumolight,ArithmeticBranch,SUCCESS,165,116,0.16,False
286C5CA99986F9CAC3216770FBD69DA0E297D5B23C6F9AC00C6AE53367EA536D,com.jarsilio.android.scrambledeggsif,ArithmeticBranch,SUCCESS,49,44,0.2,False
6ED24A1A09D0EE0CDB2C9917438C122F55F310C15FE018595D0F69F2CFC75523,com.serwylo.lexica,ArithmeticBranch,SUCCESS,131,98,0.24,False
7B5CD294F17F3D214B5E87AB4A5F7C07373E681D9B1F82F0CBF7E938253ADD69,de.markusfisch.android.binaryeye.debug,ArithmeticBranch,SUCCESS,133,99,0.15,False
F7B19453F1E6A04D5E49E551686BED4BF82DE0AEC382771225D1B1C6144419D0,fr.neamar.kiss.debug,ArithmeticBranch,SUCCESS,162,115,0.17,False
83C3838EE8B7589AB56AEF545648DE7E6CCE130805FC61290CFF7C107686D653,com.github.ashutoshgngwr.noice,ArithmeticBranch,SUCCESS,172,120,0.12,False
026EDCBF2D623840FBEAACF325BF93B994541D851F0B7C4320CADEE5F6B8F4A1,com.ichi2.anki.debug,ArithmeticBranch,SUCCESS,1390,299,0.25,False
4940931CE891338DF37FF3C11CDC5828756607DA0155C3563E87CBA9DE301244,de.marmaro.krt.ffupdater,ArithmeticBranch,SUCCESS,193,129,0.22,False
