sha256,pkgName,obfuscationTechnique,status,numSmaliClasses,numSmaliClassesAnalyzed,pctSmaliClassesObfuscated,llmFinalLabel
F278E1216EB18E8016727645537B3FF3B85065BB5191822246BE200B3D8F60EF,pd2.p8dbdd.p101,ClassRename,SUCCESS,583,231,1.0,True
F0D8EA319F65DBB449B80BDD5CE3B36618DCD8E8B3E2C66283583FD1A6BDDCE5,p4d.pb916badf2.pb403bad3,ClassRename,SUCCESS,1635,311,1.0,True
AC60202CED6CCB62C2267A21F9FD5DCC049E44E39D5E32A84CDC96FF0208AE09,O66.cYU7jq.YixYZYIwEIMMW.jJSl1,ClassRename,SUCCESS,1233,292,1.0,True
C421B6C0CAB7679C999A2D3E357BEF5F56A4320BF1CC923AEAAABC907030A4BF,O66.nUXCa.ZKgF.XFg8s,ClassRename,SUCCESS,3362,340,0.99,True
62556A175630DC1421FA76090928E2B596040270E280E72767919F2AF1B86F53,p4d.p129cde3.pc31b32.pd8216149c08c77,ClassRename,SUCCESS,340,180,0.99,True
5362B3F084EA07C045049103B0391B3022DA9A4D3665A27F763702BBDAD4B4F2,p5.p6dde2aae09.pc31b32.p1676b610.pad42,ClassRename,SUCCESS,1213,291,1.0,True
37FD52EC147E639D93DC29C7D9F78D289903899DA3B32AFAC0EF2710D4CAD614,b5.xLmFchA.Au0.QzFZdd2Up,ClassRename,SUCCESS,268,159,0.99,True
F3BD938C8B00AE6D256FB3CA2DC7C9F827970D730EAD0ED6CB900812341C3C5F,b5.jDfbArhMCN0.UDnVoJLrhkajAk.XFg8s,ClassRename,SUCCESS,3902,345,0.99,True
7637984D07D443F9801B02EA5339CB963940A6E19DA7C68BD801077CF01FC028,p8.pbf9ed.p418.pad42,ClassRename,SUCCESS,808,258,1.0,True
CD90F96835D9C34988EEDDEE8DBCA097C28D5538283F16E9F6294E4B8D8B703A,SI.y53GQpXE5pE.UbnJjk.XFg8s,ClassRename,SUCCESS,418,201,0.99,True
