sha256,pkgName,obfuscationTechnique,status,numSmaliClasses,numSmaliClassesAnalyzed,pctSmaliClassesObfuscated,llmFinalLabel
EA788F3B3504CF98AF90335B8166F76D29D2034D41E6D137BFF8A3A3616BBFF8,app.simple.peri,FieldRename,SUCCESS,105,82,0.54,True
C7B8AC8FA8EEA996EFB474DBCBBC40A8AD3C4B611CD101F06E56AE295B160E9D,com.bitmavrick.lumolight,FieldRename,SUCCESS,165,116,0.34,True
9D451A24BA913ED0470BBD5D2A9F6A27FE1B9EA2B4D3183AF86973858AA04E1B,com.github.ashutoshgngwr.noice,FieldRename,SUCCESS,172,120,0.16,False
4189557F74151E8C49C941A4B32CB20B61662308B02A9B4A0475A7FED3B44FF1,com.ichi2.anki.debug,FieldRename,SUCCESS,1390,299,0.51,True
908A99A67EF935666E4EA88E11E8061E9DC7D20332FCE41259B6AA093CD13B05,com.jarsilio.android.scrambledeggsif,FieldRename,SUCCESS,49,44,0.41,True
F3749D42131D9F74205B2A86DC957E0588B14175948B89493708CBE40D1D6E4F,de.markusfisch.android.binaryeye.debug,FieldRename,SUCCESS,133,99,0.47,True
01C989C11F8426519E0CF12F53C93DC6320A7062163CA99E70802057766DB2DF,de.marmaro.krt.ffupdater,FieldRename,SUCCESS,193,129,0.66,True
0C472E35BBF21223452BB1276A2C271DEECA0EB8C2D2BD654ED2CBC19A8F77A6,de.westnordost.streetcomplete.debug,FieldRename,SUCCESS,706,250,0.4,True
EFC1928E5F03DE071AE38F44D431DF6026D7FB8A1B671189E1A1211793FC3AD5,fr.neamar.kiss.debug,FieldRename,SUCCESS,162,115,0.59,True
363531E56F7AFF42F457ECB7C83F2381901BD36E9B221D544B282560A2F4EEC3,me.hackerchick.catima.debug,FieldRename,SUCCESS,113,88,0.65,True
