sha256,pkgName,obfuscationTechnique,status,numSmaliClasses,numSmaliClassesAnalyzed,pctSmaliClassesObfuscated,llmFinalLabel
7CF3B68A72DB3871CE481454123949F7E2123844D79839437C9B810DDCAD3030,app.simple.peri,R8,SUCCESS,5394,359,0.85,True
E9511E72FCF4BEB788A3D409B317A424447F292CCDD18A3985B4777F87021291,com.bitmavrick.lumolight,R8,SUCCESS,2828,339,0.81,True
483BFCD18C3C49F14468228CBBB0CD79A255DB99FAD4DB980BE35B04C2B6BBE3,com.github.ashutoshgngwr.noice,R8,SUCCESS,5442,359,0.83,True
2223AEEC43D8246128589C9B138CE522E9A3DE39B462032D3CE4EC45C724510A,com.ichi2.anki,R8,SUCCESS,7434,366,0.84,True
9E33620E0ED88F82D680D8F1047FB0B9932F7905E3E3136808B6686B3C67ECEE,com.jarsilio.android.scrambledeggsif,R8,SUCCESS,1210,292,0.78,True
5B5E3EECB8E77A59B2D548A5B0D3BDCC16A0B0BFFE35C43AB695D0E04DC8CDEA,de.markusfisch.android.binaryeye,R8,SUCCESS,749,255,0.84,True
5DCA5D1F2E07BA3FFAC65E1C70A3B144099AA20A2648DE6DBA3700250A47E029,de.marmaro.krt.ffupdater,R8,SUCCESS,2148,327,0.8,True
7D80D32794245A417C92AC1B28DD6B11516DAE722B2D42A7034A5C2B566B79DB,de.westnordost.streetcomplete,R8,SUCCESS,8748,368,0.8,True
E990DA6083B522A0D2B8E354BE91CF1533A52F2FAFC0CE976C32B1B7BC4FFFF0,fr.neamar.kiss,R8,SUCCESS,243,150,0.75,True
4E4A70B4A761852D4BA8D66C6AC13795BDF80A5883C3F30541256A00B06EEC92,me.hackerchick.catima,R8,SUCCESS,4190,352,0.88,True
