sha256,pkgName,obfuscationTechnique,status,numSmaliClasses,numSmaliClassesAnalyzed,pctSmaliClassesObfuscated,llmFinalLabel
5AD5F716BF474A78D79DD0E7B7160BCDAA1E1A1F8456263E9BF26486A4DC3384,app.simple.peri,ConstStringEncryption,SUCCESS,106,83,0.77,True
013CE588D61272AB65E4B2F39E7B00597351A0E9D9958506B6232082A4B0F600,com.bitmavrick.lumolight,ConstStringEncryption,SUCCESS,166,117,0.45,True
E00C4C83219EFA0ABBB6F81D773DE175FD7650E3606CD726A77C66410385D0AF,com.github.ashutoshgngwr.noice,ConstStringEncryption,SUCCESS,173,120,0.9,True
65D8332FFF3D34322E5C619365FF83B9CA78D0854E6297620A5D364DB8FDFF77,com.ichi2.anki.debug,ConstStringEncryption,SUCCESS,1391,299,0.86,True
98C6B9682E87C2C5806D3CD2CF70EDCB616197A8B8CE10D3D54C0EEA6DD113B2,com.jarsilio.android.scrambledeggsif,ConstStringEncryption,SUCCESS,50,45,0.82,True
5C6E1A96CD6D4017DACE11C1D1F40F2635B8C4E7108934BF56188CBEFC0F010D,de.markusfisch.android.binaryeye.debug,ConstStringEncryption,SUCCESS,134,100,0.78,True
314882944FDC553BA7CF09CE5F77C1C0D33C8F619D09B532902ED286B88629AF,de.marmaro.krt.ffupdater,ConstStringEncryption,SUCCESS,194,130,0.78,True
4EC4155B8117A949DFF6CC3392DF3BEF241E8D33A2FA9F23A0B41938298B90FC,de.westnordost.streetcomplete.debug,ConstStringEncryption,SUCCESS,707,250,0.58,True
052931A563335C0CBDFAD4A8E786D45C1FC4366369DC38EC46676132BC815BD5,fr.neamar.kiss.debug,ConstStringEncryption,SUCCESS,163,115,0.58,True
8151EE42731D5F8BB18E3E6B0B04F24AC487561B44D1C4D85820BEBEC70423E2,me.hackerchick.catima.debug,ConstStringEncryption,SUCCESS,114,89,0.76,True
