sha256,pkgName,obfuscationTechnique,status,numSmaliClasses,numSmaliClassesAnalyzed,pctSmaliClassesObfuscated,llmFinalLabel
20ECCABC2BE2656BDDB2AE2D20EE8A8152A4DF0A998CFC5D6561C939B47AB98E,app.simple.peri,MethodRename,SUCCESS,105,82,0.29,False
EE05277742E90BC74559A15E53BD64DD7381988A172E27002A367B504BAC5269,com.bitmavrick.lumolight,MethodRename,SUCCESS,165,116,0.06,False
CCD7894269E6BDBBF55ED24EEC551FC1C8125D2319B4BB04CEB4350D1054D5F8,com.github.ashutoshgngwr.noice,MethodRename,SUCCESS,172,120,0.57,True
8C3FBAD07E2FCF579AE8D4022FD2149612732EF347DD78414CC48C457FD215B7,com.ichi2.anki.debug,MethodRename,SUCCESS,1390,300,0.16,False
453158FA3C309548417EC66368FFB279DC3158BBD70EA475DDDF3CF192293805,com.jarsilio.android.scrambledeggsif,MethodRename,SUCCESS,49,44,0.2,False
9E880D869CDE9250BA3B1F2AB72706E45850EA397C946EF75057077AF9A4C74F,de.markusfisch.android.binaryeye.debug,MethodRename,SUCCESS,133,99,0.07,False
B645FF04686A8D138F380928EC1034D7115FD2BE8D83C8975607D56B35E5D87F,de.marmaro.krt.ffupdater,MethodRename,SUCCESS,193,129,0.08,False
D29115F72B8E3B8D407603FD8EBC489731D5B2FF9B8B252F438A66D1C6F26DE2,de.westnordost.streetcomplete.debug,MethodRename,SUCCESS,706,250,0.06,False
DDA4F1B2D0FBA5C9027E78FC1A67ECF20E58B61613685F915A87624F358B5F9C,fr.neamar.kiss.debug,MethodRename,SUCCESS,162,115,0.03,False
1412DC27EEF05F6A13448202EBD1FFC9F029B415E4DB5007704CAC250F8901A3,me.hackerchick.catima.debug,MethodRename,SUCCESS,113,88,0.07,False
