sha256,pkgName,obfuscationTechnique,status,numSmaliClasses,numSmaliClassesAnalyzed,pctSmaliClassesObfuscated,llmFinalLabel
0676B60C3C8B611D2894217B6CBDB0C461333149D8BFE64DECE5CCC0F41CB613,app.simple.peri,ResStringEncryption,SUCCESS,105,82,0.02,False
E292042DA6CC7A9CF310E8230D177F65798884D2C24B951529DFEED6D73C7DBC,com.bitmavrick.lumolight,ResStringEncryption,SUCCESS,165,116,0.03,False
0E14B79C35E4757CC5220D7363E52C80651380AEB1DCCD1A4A9D3FF67FC4E29F,com.github.ashutoshgngwr.noice,ResStringEncryption,SUCCESS,173,120,0.01,False
7FEAF8EB4B5F6EABF1785637D39D2266EBF5464AD9D94C2F6EA6C1111D02534F,com.ichi2.anki.debug,ResStringEncryption,SUCCESS,1390,300,0.01,False
93505BC0CA2C4540520D626A622D285EC2E9F2BB8E642568A520F3E2B65F1C11,com.jarsilio.android.scrambledeggsif,ResStringEncryption,SUCCESS,50,45,0.04,False
BB727ADE58C54127D5E6515406F727A06DB00B95240BA0BA798E2CDB18C801E4,de.markusfisch.android.binaryeye.debug,ResStringEncryption,SUCCESS,133,99,0.01,False
36A8197707D494CD43B75DBC094905BFA835CD5C86555C009F77A6EA8DF01B92,de.marmaro.krt.ffupdater,ResStringEncryption,SUCCESS,193,129,0.0,False
33D8D10CC605C2F57F02975AAEB723DDE8BA25887921C5B21C05E0CF3EA2D225,de.westnordost.streetcomplete.debug,ResStringEncryption,SUCCESS,706,250,0.0,False
4ACF4E8AFF952225F6A44EF0227F9F35B73812EE89639315EF12C14DB0BBBF54,fr.neamar.kiss.debug,ResStringEncryption,SUCCESS,163,115,0.03,False
1A50BE462D89092C0A4352D2ACDFE3F901E1118D71B78E53F32AD7B4E77BD8BF,me.hackerchick.catima.debug,ResStringEncryption,SUCCESS,113,88,0.0,False
