model,prompt,threshold,overallPrecision,overallRecall,overallF1,overallFPR,overallYoudenJ,TP,TN,FP,FN,TP_ArithmeticBranch,FN_ArithmeticBranch,Recall_ArithmeticBranch,TP_CallIndirection,FN_CallIndirection,Recall_CallIndirection,TP_ClassRename,FN_ClassRename,Recall_ClassRename,TP_ConstStringEncryption,FN_ConstStringEncryption,Recall_ConstStringEncryption,TP_FieldRename,FN_FieldRename,Recall_FieldRename,TP_Goto,FN_Goto,Recall_Goto,TP_MethodOverload,FN_MethodOverload,Recall_MethodOverload,TP_MethodRename,FN_MethodRename,Recall_MethodRename,TP_Reflection,FN_Reflection,Recall_Reflection
gpt-4o-mini,ObfuscationDetectionV1,0.1,1.0,0.29,0.45,0.0,0.29,26,9,0,63,0,10,0.0,3,7,0.3,10,0,1.0,10,0,1.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,3,6,0.33
gpt-4o-mini,ObfuscationDetectionV1,0.2,1.0,0.25,0.4,0.0,0.25,22,9,0,67,0,10,0.0,0,10,0.0,10,0,1.0,10,0,1.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,2,7,0.22
gpt-4o-mini,ObfuscationDetectionV1,0.3,1.0,0.22,0.37,0.0,0.22,20,9,0,69,0,10,0.0,0,10,0.0,10,0,1.0,9,1,0.9,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,1,8,0.11
gpt-4o-mini,ObfuscationDetectionV1,0.4,1.0,0.19,0.32,0.0,0.19,17,9,0,72,0,10,0.0,0,10,0.0,10,0,1.0,7,3,0.7,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,9,0.0
gpt-4o-mini,ObfuscationDetectionV1,0.5,1.0,0.16,0.27,0.0,0.16,14,9,0,75,0,10,0.0,0,10,0.0,10,0,1.0,4,6,0.4,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,9,0.0
gpt-4o-mini,ObfuscationDetectionV1,0.6,1.0,0.12,0.22,0.0,0.12,11,9,0,78,0,10,0.0,0,10,0.0,10,0,1.0,1,9,0.1,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,9,0.0
gpt-4o-mini,ObfuscationDetectionV1,0.7,1.0,0.11,0.2,0.0,0.11,10,9,0,79,0,10,0.0,0,10,0.0,10,0,1.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,9,0.0
gpt-4o-mini,ObfuscationDetectionV1,0.8,1.0,0.11,0.2,0.0,0.11,10,9,0,79,0,10,0.0,0,10,0.0,10,0,1.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,9,0.0
gpt-4o-mini,ObfuscationDetectionV1,0.9,1.0,0.1,0.18,0.0,0.1,9,9,0,80,0,10,0.0,0,10,0.0,9,1,0.9,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,9,0.0
gpt-4o-mini,ObfuscationDetectionV2,0.1,1.0,0.48,0.65,0.0,0.48,42,8,0,46,1,10,0.09,8,2,0.8,10,0,1.0,10,0,1.0,6,4,0.6,2,8,0.2,2,8,0.2,1,9,0.1,2,5,0.29
gpt-4o-mini,ObfuscationDetectionV2,0.2,1.0,0.33,0.5,0.0,0.33,29,8,0,59,0,11,0.0,4,6,0.4,10,0,1.0,10,0,1.0,3,7,0.3,0,10,0.0,0,10,0.0,0,10,0.0,2,5,0.29
gpt-4o-mini,ObfuscationDetectionV2,0.3,1.0,0.24,0.39,0.0,0.24,21,8,0,67,0,11,0.0,0,10,0.0,10,0,1.0,10,0,1.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,1,6,0.14
gpt-4o-mini,ObfuscationDetectionV2,0.4,1.0,0.22,0.36,0.0,0.22,19,8,0,69,0,11,0.0,0,10,0.0,10,0,1.0,8,2,0.8,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,1,6,0.14
gpt-4o-mini,ObfuscationDetectionV2,0.5,1.0,0.19,0.32,0.0,0.19,17,8,0,71,0,11,0.0,0,10,0.0,10,0,1.0,7,3,0.7,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,7,0.0
gpt-4o-mini,ObfuscationDetectionV2,0.6,1.0,0.16,0.27,0.0,0.16,14,8,0,74,0,11,0.0,0,10,0.0,10,0,1.0,4,6,0.4,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,7,0.0
gpt-4o-mini,ObfuscationDetectionV2,0.7,1.0,0.12,0.22,0.0,0.12,11,8,0,77,0,11,0.0,0,10,0.0,10,0,1.0,1,9,0.1,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,7,0.0
gpt-4o-mini,ObfuscationDetectionV2,0.8,1.0,0.11,0.2,0.0,0.11,10,8,0,78,0,11,0.0,0,10,0.0,10,0,1.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,7,0.0
