model,prompt,threshold,overallPrecision,overallRecall,overallF1,overallFPR,overallYoudenJ,TP,TN,FP,FN
gpt-4o-mini,ObfuscationDetectionV1,0.1,1.0,0.29,0.45,0.0,0.29,26,9,0,63
gpt-4o-mini,ObfuscationDetectionV1,0.2,1.0,0.25,0.4,0.0,0.25,22,9,0,67
gpt-4o-mini,ObfuscationDetectionV1,0.3,1.0,0.22,0.37,0.0,0.22,20,9,0,69
gpt-4o-mini,ObfuscationDetectionV1,0.4,1.0,0.19,0.32,0.0,0.19,17,9,0,72
gpt-4o-mini,ObfuscationDetectionV1,0.5,1.0,0.16,0.27,0.0,0.16,14,9,0,75
gpt-4o-mini,ObfuscationDetectionV1,0.6,1.0,0.12,0.22,0.0,0.12,11,9,0,78
gpt-4o-mini,ObfuscationDetectionV1,0.7,1.0,0.11,0.2,0.0,0.11,10,9,0,79
gpt-4o-mini,ObfuscationDetectionV1,0.8,1.0,0.11,0.2,0.0,0.11,10,9,0,79
gpt-4o-mini,ObfuscationDetectionV1,0.9,1.0,0.1,0.18,0.0,0.1,9,9,0,80
gpt-4o-mini,ObfuscationDetectionV2,0.1,1.0,0.48,0.65,0.0,0.48,42,8,0,46
gpt-4o-mini,ObfuscationDetectionV2,0.2,1.0,0.33,0.5,0.0,0.33,29,8,0,59
gpt-4o-mini,ObfuscationDetectionV2,0.3,1.0,0.24,0.39,0.0,0.24,21,8,0,67
gpt-4o-mini,ObfuscationDetectionV2,0.4,1.0,0.22,0.36,0.0,0.22,19,8,0,69
gpt-4o-mini,ObfuscationDetectionV2,0.5,1.0,0.19,0.32,0.0,0.19,17,8,0,71
gpt-4o-mini,ObfuscationDetectionV2,0.6,1.0,0.16,0.27,0.0,0.16,14,8,0,74
gpt-4o-mini,ObfuscationDetectionV2,0.7,1.0,0.12,0.22,0.0,0.12,11,8,0,77
gpt-4o-mini,ObfuscationDetectionV2,0.8,1.0,0.11,0.2,0.0,0.11,10,8,0,78
gpt-4o-mini,ObfuscationDetectionV2,0.9,1.0,0.11,0.2,0.0,0.11,10,8,0,78
gpt-4o-mini,ObfuscationDetectionV3,0.1,0.99,0.84,0.91,0.14,0.7,76,6,1,14
gpt-4o-mini,ObfuscationDetectionV3,0.2,1.0,0.78,0.88,0.0,0.78,70,7,0,20
gpt-4o-mini,ObfuscationDetectionV3,0.3,1.0,0.62,0.77,0.0,0.62,56,7,0,34
gpt-4o-mini,ObfuscationDetectionV3,0.4,1.0,0.51,0.68,0.0,0.51,46,7,0,44
gpt-4o-mini,ObfuscationDetectionV3,0.5,1.0,0.41,0.58,0.0,0.41,37,7,0,53
gpt-4o-mini,ObfuscationDetectionV3,0.6,1.0,0.32,0.49,0.0,0.32,29,7,0,61
gpt-4o-mini,ObfuscationDetectionV3,0.7,1.0,0.27,0.42,0.0,0.27,24,7,0,66
gpt-4o-mini,ObfuscationDetectionV3,0.8,1.0,0.21,0.35,0.0,0.21,19,7,0,71
gpt-4o-mini,ObfuscationDetectionV3,0.9,1.0,0.1,0.18,0.0,0.1,9,7,0,81
gpt-5-mini,ObfuscationDetectionV1,0.1,1.0,0.79,0.88,0.0,0.79,71,9,0,19
gpt-5-mini,ObfuscationDetectionV1,0.2,1.0,0.71,0.83,0.0,0.71,64,9,0,26
gpt-5-mini,ObfuscationDetectionV1,0.3,1.0,0.68,0.81,0.0,0.68,61,9,0,29
