sha256,pkgName,TypeObfuscation,isObfuscated_Niroshan,isObfuscated_Manual
00FC12EA09932C6171BEE2F731700288788D4741CF54A612EF491FDE6768C08E,com.uni.retailer,NONE,FALSE,FALSE
0204BEC0A5777AF1D448A09872348DA019DDD49F776E2CFBF8C03C38E27508B7,com.time2staff,NONE,FALSE,FALSE
061BC1A2B74FDE6E62D29C78293668C8AEE7EEA22A96A3CAB46E0F52855A44FF,com.binitex.pianochords,"ClassRename,MethodRename,FieldRename, R8",TRUE,TRUE
0B6731B4D70484ACCE52052C7394133E685E8E340A5A18B4380A51AEF8048EE4,com.CoinGame.CoinPusher,NONE,TRUE,FALSE
0C50F44EBB40019099287CAA269139189F844F877C66D101B0FE2BDEE3B9CB14,com.lukeng.english,"ClassRename,MethodRename,FieldRename,R8",TRUE,TRUE
0ECA49BA72907FE1EC387F60190BC5D37E28E5ED80448716B8E21738796F92D8,br.gov.caixa.cartoes,"ClassRename,MethodRename,FieldRename",TRUE,TRUE
129283D3A6FD375A6E6B779AC218DF4A88B310D19B867243D846B1F1523E726A,com.devup.qcm.maker,"ClassRename,MethodRename,FieldRename, R8",TRUE,TRUE
142CC3532653E55344FC79171EB2B2FE8F216ED67C8BDEE03DF35AE769279959,com.ktzmico.client,"ClassRename,MethodRename,FieldRename",TRUE,TRUE
15DBD0E2AFF2D92B4F196835B4768C5C53A937F68835959AD671A11E173AA408,com.romeubeato.chord_generator_for_guitar_v2,"ClassRename,MethodRename,FieldRename",TRUE,TRUE
16DEAA40E328310ED53108D32AFA8E927C81D9D810262FF3ABF76CE78B42399C,com.guidigo,NONE,FALSE,FALSE
1B1FE51AC1EAFCE5DAA9DCCADCD3F837D6AA584826E2B168191B4EE773D3CF34,com.goldenvoice.phone.android.goldsecretary2,NONE,FALSE,FALSE
1C0CEC21C42AFCD56A31EFA9D13DE28546A9E42BF8880212CFDC4D9A0E730F9C,com.ShreeCompPIS,NONE,TRUE,FALSE
1FB91F373C83CF30C054A59DCCFFCA6E5187C13C62ADC5120DE511B3EE1C3FF7,com.ovm.ovmapp,"ClassRename,MethodRename,FieldRename",TRUE,TRUE
227415287C2F688E3C6AE1E841859F02DEF4604B31339835764F25ED5996EC15,com.vnpay.merchant,"ConstStringEncryption, ClassRename,MethodRename,FieldRename, GoTo",FALSE,TRUE
23CA0B86F08C86514838E36A54258F6F03BA7A5897DFB134FB742F388B5BF7DE,com.imtihanat.wattaniya,NONE,FALSE,FALSE
2410AC3F0F4412DF151D7B57A7F78044BF427C5250B796A39F79462ECC5111A6,com.app.reckn.host,NONE,FALSE,FALSE
2CD3A40D1B3EFE6219EB871A86B5C88F3634ABDECE1E47810024DCA66A666CA8,com.MergeEDU.HoloGlobe,NONE,FALSE,FALSE
2DD634C4416A8E18DC5E110FFCA982270D0DDD22D82BDB5622CB288B9AC0491A,net.daum.android.dictionary,NONE,FALSE,FALSE
2E56C80FF58F341E77FD15CC2A26ADE0FE677D8EDCF843856E27FC6B6CD72AB3,de.ethon.ht.android,NONE,FALSE,FALSE
2E666C996D6C1224759DBA1AA0426F7B12A0CE5738450619EC5BA8A5817F6185,kr.co.mountainbook.android.alpineclub,"ClassRename,MethodRename,FieldRename,CallInderection",TRUE,TRUE
30DC260636CBC543A10A25A2B3B330D8B6C0F624948EE8E887CA6214A892E707,io.localexpress.brothersfreshmarketplace,NONE,FALSE,FALSE
30DE4D40C772B1729F79650F487B955A748FE0D6BEAF6C45382D31146AB96975,com.pp.qa,NONE,FALSE,FALSE
33F6CCA747D5375C54EA254C210C30B3589E1BD5878B4A6A6F32541966739825,com.itchitech.emaapp,"ClassRename,MethodRename,FieldRename",TRUE,TRUE
34035D8E3D9ABD79CE5DF6B12E56C99828EDD6CF7F18E29E8727F330E5FCC260,mn.mobicom.onemediastore,NONE,FALSE,FALSE
3E833D138EDA6CD8742B999076B4C887309B399735E05B8C370DBCBD873D6816,com.pushpress.crossfitjackson,"ClassRename,MethodRename,FieldRename, CallIndirection",TRUE,TRUE
3F7B34FD5062128D3BE1DD8D56F157A77F06139B5376D37F45D4C47FABB80173,com.nonghyup.nhallonebank,"ClassRename,MethodRename,FieldRename, CallIndirection, ArithmeticBranch, Goto, ConstStringEncryption",TRUE,TRUE
45F8A3B70F5E1D763711E888D13A76013599F143AFDF57111E76BF5BC0E6C8CF,com.infor.LN.QualityInspections,NONE,FALSE,FALSE
4774ACA4645A1637DC925542A1C98FBA1A7FC5D2CA4A7D4F2FCFF496366E2CE0,ru.advantshop.greenpub,"ClassRename,MethodRename,FieldRename",TRUE,TRUE
48D55713D35FEE2D02146B4355DFC5AB4C046770AB3A1E3F9FECD3A2040F116B,com.go.tou,"ClassRename,MethodRename,FieldRename,R8",TRUE,TRUE
4A0BB0AD657EA9226E2E7631362D2B6435DA4236FFF26EDC34054CE55FA17BE1,com.showtimezone.lcf,NONE,FALSE,FALSE
4D4ACE6D0CA13221DC7DFCBFFBD7780640FA9F53CEFAD2EA07342D08BB0BCA9F,com.jhopex.wallpaper,NONE,TRUE,FALSE
4FDB904796CCA254A96C951693DE90A98613CD9D5B7D1069F03D73B195A6BD69,com.kredily.eye,"ClassRename,MethodRename,FieldRename",TRUE,TRUE
5293D4C1FD7B82DA30FC08D29B8B34752C8AAC15E0EAD56950C6965F8B0B9B5B,com.allez.rider,NONE,FALSE,FALSE
56CAFB568670F4BE5144DEC8C3DA18F5736F49D06D3F7B971B3D953808E591E7,fr.neocity.guiclan,NONE,FALSE,FALSE
5B69CAA16C42F3CF1606F62BC4E138B3498B81A927656CAEDCB04EABED14F8FA,uk.co.solus.TowerHamletsLibraries,NONE,FALSE,FALSE
5C61B4110D0BDFFD49049EA61536ECF2E6E6B352AE1276ED5DAF3C5619B3B525,vr.development.puppy.wallpapers.hd,"ClassRename,MethodRename,FieldRename",TRUE,TRUE
5E444CE5F855FC90190ADFF738D90D0E4A4D5562A5D846ADEBB82D2ABB3AF122,wsj.reader_sp,"ClassRename,MethodRename,FieldRename",TRUE,TRUE
5F6B2692FF9AFD38A5774F3855C0A75F1C261BF7DDBA40ED39884572CCA5986F,com.tmea.wit.app,ClassRename,TRUE,TRUE
603FE62C615FF321F66D6CB192887F2E84CFFB4ED741A03562DAF575AB937F4E,charlys.app,"ClassRename,MethodRename,FieldRename",TRUE,TRUE
61F74D94FBA01848C2F3AB8E67ACDC1D6A667263867D637C72F45305752B9BE4,com.nomba.business,"ClassRename,MethodRename",TRUE,TRUE
62CAB83D28E4A4B50BDE9758A097443A809DCED8DB6644E036E9CAF0F396BBC0,com.telecomsoftware.mobileagent,NONE,FALSE,FALSE
639F95BC46227ABCA6A928E5DEB9995ECAAF6C33939CFD16B3D497241F18421C,com.paykka.mingchang,NONE,FALSE,FALSE
641509CE3F219573BB8D84864EE04F0704FFFCDA253D58088776A631A75EFE87,com.im30.ROE.gp,NONE,FALSE,FALSE
64659A085E4034BF5AED5C5CE9648CA5508BFE04076E50366777361474F3F5EB,com.guidebook.apps.fpimpact.android,NONE,TRUE,FALSE
65AE29F046089A0BCD347F6B3A63EDE7E11F72F983BAF801FA35C4B3B07DF401,com.muso.musicplayer,"ClassRename,MethodRename,FieldRename",TRUE,TRUE
67677B60A894BB83370745B74D20A539F1E5CCD90DB51D0DC462CCAF619B4958,com.ridewestmidlands.passengerapp,"ClassRename,MethodRename,FieldRename",TRUE,TRUE
686D15C7EB6AD1AA83674C1E13149958AB9CFBC8CF13F739B05657DA212515FF,uk.co.forms2mobile,PackageRename,FALSE,TRUE
694E6D872B00D3E0EAADB9B05F7009916A65BD46AC35146BB1648CAA841BDE0C,com.thank_you_so_much.mymobi_apps,"ClassRename,MethodRename,FieldRename,CallIndirection",TRUE,TRUE
6D07E193556760A029E23CE8A08F70AC1807127F88340CCD6510DA300855E696,no.nrk.tv,"ClassRename,MethodRename,FieldRename,CallIndirection",TRUE,TRUE
6FAF187C09738260B40B4354277AA271EFC234DC37E530716D36ED0F4233A2FB,com.simyasolutions.ling.da,NONE,FALSE,FALSE
750E55E6864C77B222F9D3AAD7623A03A0E952C1C6D3FE81B2B1448AE8CBE143,com.openworld.gangstermafiahero,NONE,TRUE,FALSE
77021DF9B2B5C150B55760319D55C4260E2E5BE90A516236F681249B160F7F1E,com.appcommerce.shiluveybar,NONE,FALSE,FALSE
78F654F8E16041F20C17C0F6413AAB74C348921D0BD75839F71B8982C9201B1A,com.marianatek.sparboxing,"ClassRename,MethodRename,FieldRename,CallIndirection",TRUE,TRUE
7A6BC18DB954611F82D5511230131F66A1AC0D9B1FBAF9935EAC92C84B76DB98,net.e_motto.yAVzPjDu,NONE,FALSE,FALSE
7C24FCA273FB9689E2E95CDB867DC4056DF312A72777D6B1B403E7A9F6F37F2C,com.tadabburplus.user.tadabburplus_user,"ClassRename,MethodRename,FieldRename",TRUE,TRUE
866A802DB59E8642EC8049ED0E81BCDA190C2D0A95B18E046844668386D5F1F0,com.arketa.tiffanirobbins,NONE,FALSE,FALSE
90FEFF4A3AD8F4275EFADAF9A550CC72A8B867FB1050AF7BF0BDE1C7B12BB1FC,com.genius.unicorn.girls.games.Doll.Cooking.Events.Cakes.Bakery,"ClassRename,MethodRename,FieldRename",TRUE,TRUE
94DDF9C87380F36A30DE3599E848AD66457BC326BB421E3012329C294719E844,com.almaged432.app670149158706.bird.wallpapers,"ClassRename,MethodRename,FieldRename",TRUE,TRUE
95A8180007F265E0BD488101384DCC2D0AAEBCF2DB15750074A61D34FD1D3F1E,com.goodhealth.app,NONE,FALSE,FALSE
9A12E5004C6509DF50A20493282D5D94C01BF14C300C94BE05C78E1BC9452608,com.allpay.tw,"ClassRename,MethodRename,FieldRename",TRUE,TRUE
9A4BF60F89EAE202E8F24E6E304C6BAF5D7D3E7B07FBED313E718D3FB69577A6,com.isaakhanimann.journal,"ClassRename,MethodRename,FieldRename",TRUE,TRUE
9A7FEB1A9C5B05BC35DE6FA417D7A9CE5DA78DDA0B293FBD924C635C955955AC,com.gritstudios.animoapp,NONE,FALSE,FALSE
9BF584E34F56ABFD68E4D56553AB2EDA6E49D104605BD95B1EE24AE024DA6A8B,com.com2us.smon.normal.freefull.google.kr.android.common,NONE,TRUE,FALSE
9D84E26FD9E59F2543741F885C126F5E004DA7C5EC7DFB4095B79FB519A2C945,at.mmmsoftware.FSNowApp,NONE,FALSE,FALSE
A2629E203F6C4E4BC8D3F088B86F7E5B3526E8391CBBA5E5B35DEF447B01204C,com.openmygame.games.android.fillwordsoffline,NONE,TRUE,FALSE
A87675C0914993B1A19F56DED48255D375F4FC32D487211EE811C07BD62AD1F3,com.iyigelir.android,"ClassRename,MethodRename",FALSE,TRUE
A9D3A17718AECF1FFC73331E50490FDA833C50EA0B637B9F951039D547D249C5,com.lu_app.ibew1260,NONE,FALSE,FALSE
AADC6374C7D27E4382ED24E87B7E54D528EF0C734B2A7E97D0B94F1C3DB6B11F,com.tablematches.tablematches,"ClassRename,MethodRename,FieldRename",TRUE,TRUE
AB2E4939FFD318C2F7FB233B4C80C9AF8C274B7E94A1D7147C5F4AC4C3A8EEF6,com.wytu.android.weather,NONE,FALSE,FALSE
AD1F49CBA50DFFB4BA113CA727BAAE2BC45B41B1FF5E133E6FA119E8AA8EE7C3,com.timehop,"ClassRename,MethodRename,FieldRename,(MethodOverload,CallIndirection)",TRUE,TRUE
AF5097B88DFC795011F629BCF091F3F6492F9CEF253DB053F86744C530F2B268,com.subsplashconsulting.s_PRTRBM,"ClassRename,MethodRename,FieldRename,CallIndirection",TRUE,TRUE
